rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__learning_rate_init,params,split0_test_score,split0_train_score
1,0.414403559180647,5.551115123125783e-17,0.4291909847978039,0.0,13.770171642303467,0.0,0.06682085990905762,0.0,0.001,0.01,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.01}",0.4144035591806469,0.4291909847978039
2,0.41403281119658913,0.0,0.42935246487808254,0.0,13.393181562423706,0.0,0.06781673431396484,0.0,1e-06,0.01,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.01}",0.41403281119658913,0.42935246487808254
2,0.41403281119658913,0.0,0.42979076795312465,0.0,14.300753831863403,0.0,0.056849002838134766,0.0,0.0001,0.01,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.01}",0.41403281119658913,0.42979076795312465
4,0.4126425062563722,0.0,0.42750697824632633,0.0,10.831032037734985,0.0,0.05285811424255371,0.0,0.01,0.01,"{'model__alpha': 0.01, 'model__learning_rate_init': 0.01}",0.4126425062563722,0.42750697824632633
5,0.4108814533320975,0.0,0.43195921474543825,0.0,12.872571468353271,0.0,0.05585169792175293,0.0,1e-05,0.01,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.01}",0.4108814533320975,0.43195921474543825
6,0.4104180183520253,0.0,0.4256153544487762,0.0,19.028111696243286,0.0,0.07081031799316406,0.0,0.001,0.001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.001}",0.4104180183520253,0.4256153544487762
7,0.4099545833719529,0.0,0.42229347851161503,0.0,14.086328268051147,0.0,0.05684852600097656,0.0,0.01,0.001,"{'model__alpha': 0.01, 'model__learning_rate_init': 0.001}",0.4099545833719529,0.42229347851161503
8,0.40958383538789506,0.0,0.4227548501695541,0.0,14.83931303024292,0.0,0.05984020233154297,0.0,0.0001,0.001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.001}",0.40958383538789506,0.4227548501695541
9,0.4093057743998517,0.0,0.4226625758379663,0.0,13.325363397598267,0.0,0.060837507247924805,0.0,1e-06,0.001,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.001}",0.4093057743998517,0.4226625758379663
9,0.4093057743998517,0.0,0.4225241643405845,0.0,15.056731939315796,0.0,0.06283330917358398,0.0,1e-05,0.001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.001}",0.4093057743998517,0.4225241643405845
11,0.40170544072666603,0.0,0.41195875337378024,0.0,35.45717930793762,0.0,0.049865007400512695,0.0,0.01,0.0001,"{'model__alpha': 0.01, 'model__learning_rate_init': 0.0001}",0.40170544072666603,0.41195875337378024
12,0.401520066734637,5.551115123125783e-17,0.4117742047106046,0.0,41.693496227264404,0.0,0.08876156806945801,0.0,1e-06,0.0001,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.0001}",0.4015200667346371,0.4117742047106046
12,0.401520066734637,5.551115123125783e-17,0.41191261620798636,0.0,44.327449321746826,0.0,0.05884218215942383,0.0,1e-05,0.0001,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.0001}",0.4015200667346371,0.41191261620798636
12,0.401520066734637,5.551115123125783e-17,0.41195875337378024,0.0,41.1649067401886,0.0,0.05784463882446289,0.0,0.001,0.0001,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.0001}",0.4015200667346371,0.41195875337378024
15,0.4014273797386227,0.0,0.4117049989619138,0.0,43.30318760871887,0.0,0.09075617790222168,0.0,0.0001,0.0001,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.0001}",0.4014273797386227,0.4117049989619138
16,0.39734915191398645,0.0,0.40137027382407897,0.0,65.43400430679321,0.0,0.044881343841552734,0.0,0.01,1e-05,"{'model__alpha': 0.01, 'model__learning_rate_init': 1e-05}",0.39734915191398645,0.40137027382407897
17,0.3954954119936973,0.0,0.39987081593577706,0.0,69.55298399925232,0.0,0.0688166618347168,0.0,1e-06,1e-05,"{'model__alpha': 1e-06, 'model__learning_rate_init': 1e-05}",0.3954954119936973,0.39987081593577706
17,0.3954954119936973,0.0,0.3998938845186741,0.0,69.12213635444641,0.0,0.06981420516967773,0.0,1e-05,1e-05,"{'model__alpha': 1e-05, 'model__learning_rate_init': 1e-05}",0.3954954119936973,0.3998938845186741
17,0.3954954119936973,0.0,0.39987081593577706,0.0,69.29168176651001,0.0,0.046875715255737305,0.0,0.0001,1e-05,"{'model__alpha': 0.0001, 'model__learning_rate_init': 1e-05}",0.3954954119936973,0.39987081593577706
17,0.3954954119936973,0.0,0.39991695310157094,0.0,62.65842914581299,0.0,0.04587674140930176,0.0,0.001,1e-05,"{'model__alpha': 0.001, 'model__learning_rate_init': 1e-05}",0.3954954119936973,0.39991695310157094
21,0.3799239966632682,0.0,0.3850146485501395,0.0,7.737306594848633,0.0,0.057845354080200195,0.0,0.0001,0.1,"{'model__alpha': 0.0001, 'model__learning_rate_init': 0.1}",0.3799239966632682,0.3850146485501395
22,0.37946056168319586,0.0,0.38542988304228476,0.0,8.567086458206177,0.0,0.0857703685760498,0.0,1e-05,0.1,"{'model__alpha': 1e-05, 'model__learning_rate_init': 0.1}",0.37946056168319586,0.38542988304228476
22,0.37946056168319586,0.0,0.384807031304067,0.0,9.153519630432129,0.0,0.05385398864746094,0.0,0.001,0.1,"{'model__alpha': 0.001, 'model__learning_rate_init': 0.1}",0.37946056168319586,0.384807031304067
24,0.3738066549263138,0.0,0.38330757341576505,0.0,4.844045162200928,0.0,0.051862478256225586,0.0,1e-06,0.1,"{'model__alpha': 1e-06, 'model__learning_rate_init': 0.1}",0.3738066549263138,0.38330757341576505
25,0.3727870979701548,0.0,0.3808161664628941,0.0,9.3878915309906,0.0,0.07280707359313965,0.0,0.01,0.1,"{'model__alpha': 0.01, 'model__learning_rate_init': 0.1}",0.3727870979701548,0.3808161664628941
