rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__eta,param_model__gamma,param_model__lambda,params,split0_test_score,split0_train_score
1,0.4658448419686718,0.0,0.694087522203511,0.0,310.44274139404297,0.0,2.579102039337158,0.0,1,0,100,"{'model__eta': 1, 'model__gamma': 0, 'model__lambda': 100}",0.4658448419686718,0.694087522203511
2,0.46380572805635367,0.0,0.8487162333617846,0.0,301.89460158348083,0.0,2.434490203857422,0.0,1,0,10,"{'model__eta': 1, 'model__gamma': 0, 'model__lambda': 10}",0.46380572805635367,0.8487162333617846
3,0.4585225692835295,0.0,0.5397356340400009,0.0,305.801153421402,0.0,2.5461909770965576,0.0,1,0,1000,"{'model__eta': 1, 'model__gamma': 0, 'model__lambda': 1000}",0.4585225692835295,0.5397356340400009
4,0.4542589674668644,0.0,0.5396433597084132,0.0,313.4945795536041,0.0,4.1289589405059814,0.0,0.1,0,0.001,"{'model__eta': 0.1, 'model__gamma': 0, 'model__lambda': 0.001}",0.4542589674668644,0.5396433597084132
5,0.4537955324867921,0.0,0.538720616392535,0.0,312.4693202972412,0.0,3.3939244747161865,0.0,0.1,0,0.1,"{'model__eta': 0.1, 'model__gamma': 0, 'model__lambda': 0.1}",0.4537955324867921,0.538720616392535
6,0.45305403651867643,0.0,0.5408429260190547,0.0,315.9609751701355,0.0,2.5711233615875244,0.0,0.1,0,0.0001,"{'model__eta': 0.1, 'model__gamma': 0, 'model__lambda': 0.0001}",0.45305403651867643,0.5408429260190547
7,0.4524052275465752,0.0,0.5402662114466308,0.0,314.3193745613098,0.0,4.182813882827759,0.0,0.1,0,0.01,"{'model__eta': 0.1, 'model__gamma': 0, 'model__lambda': 0.01}",0.4524052275465752,0.5402662114466308
8,0.45231254055056075,0.0,0.5282936169231124,0.0,304.30515575408936,0.0,2.697787046432495,0.0,0.1,0,1,"{'model__eta': 0.1, 'model__gamma': 0, 'model__lambda': 1}",0.45231254055056075,0.5282936169231124
9,0.4487904347020113,0.0,0.5023645297469377,0.0,307.77487659454346,0.0,2.5441951751708984,0.0,0.1,0,10,"{'model__eta': 0.1, 'model__gamma': 0, 'model__lambda': 10}",0.4487904347020113,0.5023645297469377
10,0.44730744276577994,0.0,0.9002283789706799,0.0,294.7566919326782,0.0,2.0993845462799072,0.0,1,0,1,"{'model__eta': 1, 'model__gamma': 0, 'model__lambda': 1}",0.44730744276577994,0.9002283789706799
11,0.4408193530447678,0.0,0.4705990910978339,0.0,301.8068358898163,0.0,2.039545774459839,0.0,0.1,0,100,"{'model__eta': 0.1, 'model__gamma': 0, 'model__lambda': 100}",0.4408193530447678,0.4705990910978339
12,0.4371118732041894,0.0,0.4604027774573808,0.0,307.8486828804016,0.0,1.3783087730407715,0.0,0.1,10,0.001,"{'model__eta': 0.1, 'model__gamma': 10, 'model__lambda': 0.001}",0.4371118732041894,0.4604027774573808
13,0.43674112522013164,0.0,0.4599644743823387,0.0,315.5790021419525,0.0,1.4401500225067139,0.0,0.1,10,0.0001,"{'model__eta': 0.1, 'model__gamma': 10, 'model__lambda': 0.0001}",0.43674112522013164,0.4599644743823387
14,0.435814255259987,0.0,0.45710397010311654,0.0,305.1299500465393,0.0,1.2895503044128418,0.0,0.1,10,1,"{'model__eta': 0.1, 'model__gamma': 10, 'model__lambda': 1}",0.435814255259987,0.45710397010311654
15,0.4352581332839003,0.0,0.4577037532584373,0.0,312.2688572406769,0.0,1.3723297119140625,0.0,0.1,10,0.1,"{'model__eta': 0.1, 'model__gamma': 10, 'model__lambda': 0.1}",0.4352581332839003,0.4577037532584373
